 Facies,Well Name,Depth,GR,AC,DEN,CNL,LLS,LLD,K
3,JY51-2,3099.87,181.074,235.256,2.623,15.494,18.948,20.079,4.484
3,JY51-2,3100.87,179.555,242.597,2.634,16.198,47.958,49.359,4.04
3,JY51-2,3101.87,194.613,243.82,2.631,14.864,50.901,52.655,3.58
2,JY51-2,3102.87,170.635,239.118,2.665,14.142,52.35,52.903,3.291
3,JY51-2,3103.87,199.402,249.876,2.619,17.93,36.138,35.599,4.268
3,JY51-2,3104.79,190.085,248.9,2.655,16.004,17.691,20.081,3.739
3,JY51-2,3105.87,171.859,247.503,2.599,15.334,45.18,46.683,3.55
3,JY51-2,3106.87,188.457,259.774,2.59,17.114,43.112,44.092,3.099
3,JY51-2,3107.77,189.283,258.381,2.602,16.106,19.506,20.133,3.515
3,JY51-2,3108.87,189.291,261.824,2.611,17.994,36.491,34.462,3.597
3,JY51-2,3109.87,180.471,255.716,2.585,16.203,33.552,32.965,4.742
3,JY51-2,3110.83,191.334,258.805,2.583,16.888,41.2,42.343,4.287
3,JY51-2,3111.87,179.531,255.058,2.591,15.814,44.732,45.297,3.231
3,JY51-2,3112.87,181.664,251.849,2.573,15.181,30.961,30.075,3.22
2,JY51-2,3113.87,183.554,249.723,2.583,14.805,62.51,64.981,2.824
3,JY51-2,3114.87,210.453,254.503,2.561,15.668,57.996,58.124,3.58
3,JY51-2,3115.87,241.981,266.56,2.6,17.762,27.892,30.034,3.896
4,JY51-2,3116.75,216.3,247.431,2.601,15.622,16.34,18.012,3.819
4,JY51-2,3117.87,212.119,247.447,2.616,14.751,42.893,42.842,3.68
4,JY51-2,3118.87,201.109,239.036,2.628,12.916,64.794,66.378,3.642
3,JY51-2,3119.87,216.053,245.754,2.599,14.861,70.403,71.381,3.745
4,JY51-2,3120.87,204.388,238.04,2.608,13.13,47.8,50.875,3.849
2,JY51-2,3121.87,199.076,242.273,2.591,13.563,52.444,53.078,3.817
2,JY51-2,3122.87,194.529,243.245,2.579,12.95,68.363,71.53,3.754
4,JY51-2,3123.87,179.197,240.999,2.579,12.668,80.966,81.092,2.684
2,JY51-2,3124.87,209.618,241.784,2.554,13.058,61.783,62.992,4.282
2,JY51-2,3125.87,198.144,241.758,2.586,12.266,23.094,22.808,3.131
