Well Name,Depth,GR,DEN,AC,CNL,Facies
JY37-4HF,3042.204,223.326,2.686,237.251,18.43,2
JY37-4HF,3042.329,223.323,2.682,237.936,17.87,2
JY37-4HF,3042.454,221.706,2.681,238.922,17.449,2
JY37-4HF,3042.579,218.176,2.681,239.93,17.371,2
JY37-4HF,3042.704,212.969,2.68,240.549,17.523,2
JY37-4HF,3042.829,208.297,2.673,240.481,17.691,2
JY37-4HF,3042.954,209.844,2.667,239.771,17.802,2
JY37-4HF,3043.079,211.332,2.668,238.698,17.742,2
JY37-4HF,3043.204,203.344,2.674,237.39,17.419,2
JY37-4HF,3043.329,192.179,2.675,236.083,16.975,2
JY37-4HF,3043.454,192.229,2.666,235.163,16.566,2
JY37-4HF,3043.579,205.975,2.654,234.797,16.256,2
JY37-4HF,3043.704,218.64,2.648,234.946,16.021,2
JY37-4HF,3043.829,221.997,2.65,235.476,15.998,2
JY37-4HF,3043.954,220.324,2.655,236.136,16.4,2
JY37-4HF,3044.079,217.294,2.659,236.54,17.058,2
JY37-4HF,3044.204,212.993,2.664,236.544,17.464,2
JY37-4HF,3044.329,207.744,2.669,236.316,17.415,2
JY37-4HF,3044.454,202.541,2.673,236.085,17.172,2
JY37-4HF,3044.579,198.565,2.673,235.835,17.09,2
JY37-4HF,3044.704,196.008,2.67,235.408,17.11,2
JY37-4HF,3044.829,193.489,2.664,234.584,16.97,2
JY37-4HF,3044.954,191.128,2.659,233.185,16.588,2
JY37-4HF,3045.079,190.717,2.655,231.261,16.167,2
JY37-4HF,3045.204,192.325,2.653,228.981,15.824,2
JY37-4HF,3045.329,193.448,2.655,226.77,15.405,2
JY37-4HF,3045.454,191.786,2.66,225.322,14.829,2
JY37-4HF,3045.579,188.596,2.667,225.469,14.315,2
JY37-4HF,3045.704,188.547,2.673,227.952,14.033,2
JY37-4HF,3045.829,194.825,2.671,232.495,13.703,2
JY37-4HF,3045.954,206.639,2.663,238.16,13.703,2
JY37-4HF,3046.079,218.547,2.653,243.303,13.703,2
JY37-4HF,3046.204,224.536,2.644,246.129,13.611,2
JY37-4HF,3046.329,222.462,2.635,245.546,13.593,2
JY37-4HF,3046.454,214.957,2.631,241.908,13.509,2
JY37-4HF,3046.579,205.257,2.63,236.691,13.484,2
JY37-4HF,3046.704,195.15,2.633,231.333,13.484,2
JY37-4HF,3046.829,185.99,2.636,226.839,13.484,2
JY37-4HF,3046.954,179.026,2.638,223.71,13.406,2
JY37-4HF,3047.079,174.803,2.638,222.023,13.865,2
JY37-4HF,3047.204,173.148,2.638,221.341,14.314,2
JY37-4HF,3047.329,173.495,2.638,221.348,14.708,2
JY37-4HF,3047.454,174.758,2.639,221.919,15.024,2
JY37-4HF,3047.579,175.657,2.64,222.793,15.23,2
JY37-4HF,3047.704,176.091,2.638,223.614,15.397,2
JY37-4HF,3047.829,176.932,2.635,224.157,15.648,2
JY37-4HF,3047.954,177.847,2.631,224.38,15.941,2
JY37-4HF,3048.079,177.226,2.631,224.151,15.99,2
JY37-4HF,3048.204,174.327,2.633,223.189,15.458,2
JY37-4HF,3048.329,169.551,2.637,221.133,14.494,2
JY37-4HF,3048.454,163.224,2.646,217.526,13.441,2
JY37-4HF,3048.579,154.955,2.663,212.159,11.99,2
JY37-4HF,3048.704,144.382,2.692,205.383,9.935,2
JY37-4HF,3048.829,132.711,2.729,198.127,8.001,2
JY37-4HF,3048.954,122.256,2.766,191.575,6.971,2
