Well Name,Depth,GR,AC,DEN,CNL,LLS,K,Facies
JY37-4,3081.704,222.313,248.154,2.572,22.066,16.036,4.431,3
JY37-4,3081.829,221.627,248.025,2.564,21.603,16.525,4.478,3
JY37-4,3081.954,223.878,248.051,2.576,21.587,16.641,4.502,3
JY37-4,3090.329,205.032,239.974,2.662,21.026,17.401,3.63,3
JY37-4,3096.329,213.578,240.271,2.677,19.508,18.268,3.335,3
JY37-4,3103.954,183.035,225.247,2.642,15.372,30.297,3.483,3
JY37-4,3104.079,184.126,225.503,2.645,15.267,30.476,3.502,3
JY37-4,3104.204,184.61,226.451,2.65,15.423,30.489,3.469,3
JY37-4,3104.454,183.507,229.948,2.654,16.628,30.185,3.282,3
JY37-4,3104.579,183.125,232.062,2.65,17.355,30.247,3.168,3
JY37-4,3104.954,183.684,236.404,2.621,18.405,31.01,2.876,3
JY37-4,3105.079,183.948,236.053,2.619,18.576,31.274,2.804,3
JY37-4,3108.329,195.529,224.727,2.676,13.669,35.148,3.413,3
JY37-4,3108.454,193.963,225.241,2.668,13.745,35.48,3.511,3
JY37-4,3108.579,191.725,225.421,2.657,13.948,35.843,3.581,3
JY37-4,3108.704,190.125,225.181,2.647,14.185,36.3,3.586,3
JY37-4,3111.704,179.911,220.775,2.656,14.587,35.233,3.276,3
JY37-4,3113.829,181.91,224.853,2.647,15.469,32.825,3.443,3
JY37-4,3113.954,183.954,225.584,2.646,15.462,32.913,3.543,3
JY37-4,3114.079,184.272,226.155,2.646,15.486,33.164,3.643,3
JY37-4,3114.204,183.83,226.575,2.645,15.554,33.52,3.742,3
JY37-4,3114.329,184.137,226.822,2.641,15.661,33.922,3.838,3
JY37-4,3114.454,184.709,226.854,2.636,15.75,34.335,3.91,3
JY37-4,3114.579,184.168,226.685,2.633,15.779,34.633,3.953,3
JY37-4,3114.704,183.151,226.364,2.633,15.749,34.451,3.974,3
JY37-4,3114.829,183.749,225.936,2.639,15.659,33.492,3.974,3
JY37-4,3114.954,185.896,225.48,2.649,15.463,32.089,3.956,3
JY37-4,3115.454,189.522,225.666,2.65,14.981,31.706,3.79,3
JY37-4,3115.579,190.684,226.445,2.642,15.347,31.822,3.78,3
JY37-4,3115.704,190.15,227.42,2.639,15.556,31.844,3.781,3
JY37-4,3115.829,188.597,228.451,2.642,15.531,32.057,3.778,3
JY37-4,3115.954,187.436,229.398,2.645,15.428,32.454,3.766,3
JY37-4,3116.079,187.415,230.138,2.646,15.427,32.751,3.748,3
JY37-4,3116.204,188.405,230.579,2.646,15.564,32.682,3.719,3
JY37-4,3116.329,189.517,230.738,2.645,15.72,32.32,3.662,3
JY37-4,3116.454,189.284,230.718,2.644,15.785,32.009,3.556,3
JY37-4,3116.579,187.096,230.671,2.642,15.811,31.969,3.397,3
JY37-4,3116.704,184.291,230.713,2.641,15.865,32.079,3.234,3
JY37-4,3116.829,182.951,230.855,2.641,15.854,32.081,3.125,3
JY37-4,3122.454,188.026,227.134,2.659,16.453,24.436,3.2,3
JY37-4,3122.579,190.886,227.261,2.678,16.383,19.571,3.215,3
JY37-4,3123.079,197.173,222.932,2.678,15.178,22.812,3.345,3
JY37-4,3123.204,197.208,221.751,2.673,14.881,25.832,3.421,3
JY37-4,3123.329,197.723,221.174,2.673,14.767,28.5,3.495,3
JY37-4,3123.454,199.744,220.992,2.674,14.777,30.336,3.558,3
JY37-4,3123.704,201.012,220.747,2.668,15.067,31.332,3.591,3
JY37-4,3123.829,198.321,218.347,2.669,15.273,31.246,3.608,3
JY37-4,3125.329,191.802,224.704,2.67,15.144,26.56,3.578,3
JY37-4,3125.454,191.584,223.369,2.667,15.142,25.956,3.51,3
JY37-4,3125.579,192.875,221.703,2.665,15.427,25.202,3.425,3
JY37-4,3125.704,194.245,220.228,2.673,15.812,24.482,3.343,3
JY37-4,3126.204,193.57,219.451,2.682,15.278,25.701,3.089,6
JY37-4,3126.329,192.785,219.566,2.677,15.341,26.461,3.004,6
JY37-4,3126.704,190.97,220.282,2.677,16.116,28.513,2.966,6
JY37-4,3127.079,194.938,222.933,2.656,15.127,20.142,3.277,3
JY37-4,3127.204,196.601,222.867,2.658,14.345,18.217,3.353,3
JY37-4,3127.329,196.417,221.88,2.662,13.875,17.783,3.373,3
JY37-4,3127.454,195.277,220.016,2.664,13.787,19.283,3.368,3
JY37-4,3127.579,194.66,217.535,2.663,13.835,23.804,3.355,3
JY37-4,3127.704,195.304,215.179,2.662,13.815,30.044,3.356,3
JY37-4,3127.829,195.998,213.466,2.665,13.75,32.208,3.38,3
JY37-4,3127.954,195.151,212.719,2.674,13.741,25.82,3.44,3
JY37-4,3128.829,198.356,223.887,2.657,15.896,26.771,3.728,3
JY37-4,3128.954,194.97,224.028,2.648,15.531,31.192,3.664,3
JY37-4,3129.579,194.872,219.401,2.645,14.829,33.744,3.526,3
JY37-4,3130.454,198.373,220.966,2.647,15.163,27.66,3.502,3
JY37-4,3130.579,197.445,219.668,2.645,14.782,27.612,3.622,3
JY37-4,3130.704,196.854,218.282,2.642,14.632,28.095,3.691,3
JY37-4,3133.204,186.389,220.99,2.643,16.244,36.446,3.528,3
JY37-4,3133.329,186.477,216.923,2.642,15.632,37.105,3.601,3
JY37-4,3133.454,186.712,212.948,2.647,15.174,37.821,3.641,3
JY37-4,3133.579,185.486,210.246,2.658,15.009,38.533,3.677,3
JY37-4,3134.079,180.458,218.871,2.66,15.806,40.369,3.759,3
JY37-4,3134.204,182.187,221.634,2.642,16.124,40.514,3.699,3
JY37-4,3142.954,183.941,221.785,2.641,15.382,34.766,3.508,3
JY37-4,3143.204,181.214,218.474,2.663,15.489,35.271,3.293,3
JY37-4,3148.829,188.08,214.077,2.642,13.38,37.257,3.658,3
JY37-4,3151.829,206.396,226.977,2.665,19.083,35.263,3.475,3
JY37-4,3151.954,205.973,226.126,2.659,17.893,35.667,3.581,3
JY37-4,3152.079,202.791,224.159,2.645,16.656,34.393,3.646,3
JY37-4,3152.704,193.809,218.832,2.617,15.225,34.802,4.01,3
JY37-4,3152.829,194.886,219.605,2.622,15.644,34.38,4.036,3
JY37-4,3152.954,195.754,220.102,2.629,15.881,32.392,4.026,3
JY37-4,3153.079,195.095,220.324,2.637,15.865,30.449,3.967,3
JY37-4,3153.204,192.714,220.633,2.646,15.681,30.198,3.868,3
JY37-4,3153.329,189.524,221.488,2.655,15.535,31.554,3.773,3
JY37-4,3153.454,187.136,223.022,2.659,15.576,33.37,3.711,3
JY37-4,3153.579,186.704,225.005,2.656,15.769,34.66,3.679,3
JY37-4,3153.704,188.593,226.955,2.65,15.996,35.051,3.666,3
JY37-4,3153.829,192.46,228.258,2.647,16.121,34.467,3.64,3
JY37-4,3153.954,196.6,228.472,2.651,16.015,33.484,3.58,3
JY37-4,3154.079,199.086,227.584,2.659,15.681,33.181,3.497,3
JY37-4,3154.204,199.167,225.728,2.664,15.252,33.576,3.397,3
JY37-4,3154.329,197.558,223.198,2.664,14.793,33.135,3.28,3
JY37-4,3156.329,182.819,215.352,2.678,14.912,24.063,3.22,6
JY37-4,3157.454,182.259,231.166,2.641,20.064,29.936,3.009,3
JY37-4,3157.829,182.416,234.144,2.64,19.172,29.385,3.096,3
JY37-4,3158.079,181.092,235.844,2.63,18.11,30.025,3.236,3
JY37-4,3159.579,182.984,230.496,2.646,19.027,27.595,3.489,3
JY37-4,3159.704,183.162,231.586,2.655,19.766,27.792,3.519,3
JY37-4,3159.829,184.926,232.492,2.657,19.996,27.571,3.578,3
JY37-4,3159.954,186.765,233.072,2.645,19.48,27.066,3.656,3
JY37-4,3164.579,193.602,220.162,2.639,15.858,13.493,3.981,3
JY37-4,3165.079,195.491,225.09,2.654,16.239,10.141,3.605,3
JY37-4,3165.704,200.254,228.875,2.592,17.71,15.468,4.003,3
JY37-4,3165.829,200.328,228.517,2.591,17.843,26.601,4.031,3
JY37-4,3165.954,199.106,228.288,2.597,18.056,47.014,4.029,3
JY37-4,3166.079,197.079,228.378,2.606,18.335,68.626,4.012,3
